timestamp,camera_front
1645481440.548752069,3203
1645481440.581906080,3204
1645481440.615433931,3205
1645481440.648770094,3206
1645481440.682111979,3207
1645481440.715328932,3208
1645481440.748753071,3209
1645481440.781995058,3210
1645481440.815371990,3211
1645481440.848754883,3212
1645481440.882040977,3213
1645481440.915410042,3214
1645481440.948662996,3215
1645481440.982048988,3216
1645481441.015420914,3217
1645481441.048801899,3218
1645481441.082032919,3219
1645481441.115427017,3220
1645481441.148789883,3221
1645481441.182027102,3222
1645481441.215420961,3223
1645481441.248866081,3224
1645481441.282310963,3225
1645481441.315490961,3226
1645481441.348947048,3227
1645481441.382306099,3228
1645481441.415692091,3229
1645481441.449068069,3230
1645481441.482399940,3231
1645481441.515815973,3232
1645481441.549176931,3233
1645481441.582532883,3234
1645481441.615834951,3235
1645481441.649224997,3236
1645481441.682672977,3237
1645481441.716120005,3238
1645481441.749449015,3239
1645481441.782797098,3240
1645481441.816154003,3241
1645481441.849469900,3242
1645481441.882668972,3243
1645481441.916081905,3244
1645481441.949506998,3245
1645481441.982733011,3246
1645481442.016098976,3247
1645481442.049504995,3248
1645481442.082763910,3249
1645481442.115997076,3250
1645481442.149260998,3251
1645481442.182743073,3252
1645481442.215914011,3253
1645481442.249289989,3254
1645481442.282509089,3255
1645481442.315900087,3256
1645481442.349231005,3257
1645481442.382589102,3258
1645481442.415946960,3259
1645481442.449285984,3260
1645481442.482577085,3261
1645481442.515851974,3262
1645481442.549297094,3263
1645481442.582565069,3264
1645481442.615967035,3265
1645481442.649394989,3266
1645481442.682710886,3267
1645481442.716084003,3268
1645481442.749475956,3269
1645481442.782830000,3270
1645481442.816206932,3271
1645481442.849746943,3272
1645481442.883137941,3273
1645481442.916414976,3274
1645481442.949776888,3275
1645481442.983225107,3276
1645481443.016563892,3277
1645481443.049956083,3278
1645481443.083393097,3279
1645481443.116724968,3280
1645481443.150232077,3281
1645481443.183434010,3282
1645481443.216821909,3283
1645481443.250125885,3284
1645481443.283514023,3285
1645481443.316871881,3286
1645481443.350200891,3287
1645481443.383512020,3288
1645481443.416841030,3289
1645481443.450206995,3290
1645481443.483582973,3291
1645481443.516963005,3292
1645481443.550179005,3293
1645481443.583535910,3294
1645481443.616966963,3295
1645481443.650316954,3296
1645481443.683530092,3297
1645481443.716917992,3298
1645481443.750322104,3299
1645481443.783679962,3300
